  30: This is info message
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structfield', 95, 20)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structfield', 95, 47)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'type', 95, 54)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'type', 95, 69)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 96, 13)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 97, 12)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'filename', 99, 17)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'filename', 99, 52)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 100, 13)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'entry', 100, 21)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'row', 101, 11)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'row', 103, 10)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'entry', 104, 40)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 104, 71)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structfield', 105, 20)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structfield', 105, 48)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'type', 105, 55)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'type', 105, 68)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 106, 13)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 107, 12)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 109, 13)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'entry', 109, 21)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'row', 110, 11)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'row', 112, 10)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'entry', 113, 40)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 113, 71)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structfield', 114, 20)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structfield', 114, 41)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'type', 114, 48)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'type', 114, 62)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 115, 13)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 116, 12)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 118, 13)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'entry', 118, 21)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'row', 119, 11)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'row', 121, 10)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'entry', 122, 40)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 122, 71)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structfield', 123, 20)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structfield', 123, 44)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'type', 123, 51)
